ID,school_code,age,gender,discipline_marker,s1_credits,s1_gpa,s2_credits,s2_gpa,GPA_weighted,exclude,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,optimism_score
778,2,22,m,HUMANITIES,16,2.22,16,1.87,2.045,FALSE,3,4,3,1,5,2,5,1,2,2,1,5,4,3,41
459,1,21,m,HUMANITIES,16,2.29,13,2.63,2.4424137931034484,FALSE,2,3,2,2,1,5,6,3,3,4,3,3,2,5,44
208,5,22,f,HUMANITIES,16,2.4099999999999997,15,2.54,2.4729032258064514,FALSE,4,5,2,1,2,3,1,2,5,2,6,2,1,1,37
342,10,22,f,HUMANITIES,17,3.52,15,3.59,3.5528125,FALSE,1,1,5,1,2,3,3,3,1,2,4,5,2,5,38
718,9,22,m,HUMANITIES,17,1.8,16,1.42,1.6157575757575757,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
824,18,21,f,HUMANITIES,12,3.44,15,3.29,3.3566666666666665,FALSE,1,2,3,3,3,5,1,1,5,1,3,2,2,1,33
734,15,22,m,HUMANITIES,15,2.58,16,2.38,2.4767741935483873,FALSE,1,4,2,3,3,3,2,2,1,3,1,3,5,4,37
477,9,22,f,HUMANITIES,13,1.21,16,2.03,1.6624137931034482,FALSE,5,2,2,4,3,3,3,4,3,1,4,5,4,2,45
424,23,22,f,HUMANITIES,15,2.73,16,2.2600000000000002,2.48741935483871,FALSE,3,3,1,2,4,4,6,3,4,4,4,3,3,1,45
577,11,22,f,HUMANITIES,16,1.7,17,2.55,2.1378787878787877,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,4,21,f,HUMANITIES,18,3.08,16,2.77,2.934117647058823,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,4,21,f,HUMANITIES,15,3.05,17,2.9699999999999998,3.0075,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,16,21,m,HUMANITIES,16,1.6700000000000002,16,2.46,2.065,FALSE,1,4,5,2,2,6,2,2,4,1,3,1,5,5,43
113,12,21,m,HUMANITIES,16,1.84,16,2.3899999999999997,2.1149999999999998,FALSE,1,1,3,3,1,2,1,5,5,4,2,3,1,4,36
104,15,22,m,HUMANITIES,16,2.88,16,3.8299999999999996,3.3549999999999995,TRUE,1,2,2,2,5,2,2,1,4,1,3,5,2,1,33
252,21,22,m,HUMANITIES,16,1.55,16,2.46,2.005,TRUE,2,1,3,4,1,1,5,6,4,2,4,3,3,1,40
373,12,22,m,HUMANITIES,12,0.63,16,1.3,1.012857142857143,FALSE,2,1,1,5,4,4,3,2,1,5,4,2,6,2,42
725,11,22,m,HUMANITIES,16,2.22,12,2.77,2.455714285714286,FALSE,1,2,2,5,2,2,3,2,5,2,2,5,3,3,39
860,7,22,m,HUMANITIES,13,2.52,15,2.65,2.5896428571428567,FALSE,1,5,1,1,2,6,4,1,3,3,3,5,4,3,42
520,21,22,m,HUMANITIES,16,1.93,12,2.34,2.1057142857142854,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
569,12,23,m,HUMANITIES,13,2.4299999999999997,12,3.09,2.7467999999999995,FALSE,5,3,3,3,5,6,6,1,2,2,3,5,6,5,55
428,1,22,m,HUMANITIES,12,3.04,15,2.84,2.928888888888889,FALSE,1,5,2,2,3,6,1,1,5,1,6,1,1,3,38
177,5,21,f,HUMANITIES,18,2.59,15,2.67,2.626363636363636,FALSE,3,6,4,1,2,1,3,1,1,2,3,5,3,5,40
282,6,22,f,HUMANITIES,17,2.4699999999999998,16,2.2,2.339090909090909,FALSE,4,1,3,2,4,2,2,3,4,5,3,2,1,1,37
341,10,22,f,HUMANITIES,16,2.8,17,2.48,2.635151515151515,FALSE,2,4,6,2,4,3,1,2,5,3,2,2,1,5,42
921,8,22,m,HUMANITIES,15,3.48,16,3.3499999999999996,3.4129032258064513,FALSE,5,2,3,4,1,2,3,6,2,3,1,1,2,3,38
935,3,22,f,HUMANITIES,16,2.08,17,1.97,2.0233333333333334,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,18,22,m,HUMANITIES,17,3.9099999999999997,17,3.66,3.785,FALSE,3,3,4,2,2,5,2,4,4,1,2,3,3,5,43
957,15,23,f,HUMANITIES,15,3.25,16,3.3099999999999996,3.2809677419354837,FALSE,4,6,4,4,2,2,5,3,1,1,6,2,1,2,43
650,9,22,f,HUMANITIES,12,3.38,16,3.88,3.665714285714286,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
498,6,22,f,HUMANITIES,16,2.7800000000000002,15,2.58,2.6832258064516132,FALSE,4,3,2,4,2,3,5,1,1,1,2,4,1,4,37
943,2,23,m,HUMANITIES,17,3.52,18,2.84,3.1702857142857144,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
505,21,22,f,HUMANITIES,14,3.8299999999999996,16,3.11,3.4459999999999997,FALSE,3,2,2,5,1,1,1,6,2,4,1,4,2,6,40
465,11,22,f,HUMANITIES,17,3.21,16,2.8299999999999996,3.0257575757575754,FALSE,6,2,5,5,3,1,1,5,4,5,1,1,1,5,45
732,22,22,m,HUMANITIES,16,2.73,17,3.03,2.8845454545454543,FALSE,3,1,5,1,3,2,3,3,2,2,3,4,1,5,38
467,7,22,m,HUMANITIES,13,1.82,13,1.85,1.835,FALSE,2,2,3,1,1,1,3,3,2,3,6,3,2,1,33
563,20,23,f,HUMANITIES,15,1.97,16,1.78,1.8719354838709679,FALSE,3,4,1,6,3,3,3,3,6,1,4,3,5,1,46
851,8,22,m,HUMANITIES,14,1.59,17,1.77,1.6887096774193548,FALSE,6,4,3,3,3,2,4,1,2,3,1,2,3,2,39
655,3,22,m,HUMANITIES,16,2.08,16,1.9,1.99,FALSE,3,2,4,1,1,3,3,3,4,1,3,2,1,3,34
796,11,22,m,HUMANITIES,17,2.8099999999999996,14,2.46,2.6519354838709677,FALSE,2,4,2,4,5,3,2,1,5,3,3,2,2,1,39
669,5,22,m,HUMANITIES,NA,NA,NA,NA,NA,NA,2,1,6,3,6,5,2,1,1,1,1,1,1,5,36
664,10,23,f,HUMANITIES,16,1.1600000000000001,16,1.02,1.09,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,6,22,m,HUMANITIES,17,3.18,15,2.4899999999999998,2.8565625,FALSE,3,3,1,1,3,2,2,3,3,2,2,1,3,3,32
857,5,22,m,HUMANITIES,16,1.02,17,1.62,1.329090909090909,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,12,21,f,HUMANITIES,17,3.36,17,2.84,3.1,FALSE,2,1,5,4,5,5,3,2,2,5,1,3,4,4,46
827,9,23,m,HUMANITIES,16,2.29,17,1.97,2.125151515151515,FALSE,5,1,6,3,4,5,2,5,1,3,1,2,2,1,41
383,22,22,m,HUMANITIES,15,3.4299999999999997,17,2.8499999999999996,3.1218749999999997,FALSE,5,4,2,1,5,2,6,5,4,1,1,3,5,6,50
648,13,21,m,HUMANITIES,12,1.4,16,1.82,1.6400000000000001,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
550,23,22,f,HUMANITIES,16,2.9299999999999997,15,2.7800000000000002,2.8574193548387097,FALSE,5,6,3,2,1,5,1,3,3,3,3,3,1,3,42
710,12,21,m,HUMANITIES,15,2.9699999999999998,16,2.65,2.8048387096774188,FALSE,1,6,6,1,2,3,1,6,1,3,1,2,4,1,38
516,13,22,f,HUMANITIES,18,1.99,15,0.9500000000000001,1.5172727272727273,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
964,21,22,m,HUMANITIES,16,3.63,16,3.36,3.495,FALSE,1,3,3,1,1,3,2,2,5,6,2,1,1,3,34
802,1,23,m,HUMANITIES,18,2.75,13,2.8099999999999996,2.775161290322581,FALSE,1,1,2,6,3,1,5,1,4,5,2,4,1,4,40
789,21,22,m,HUMANITIES,16,2.98,17,3.25,3.119090909090909,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
846,23,22,m,HUMANITIES,16,3.7,14,2.73,3.247333333333333,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
838,11,23,f,HUMANITIES,16,2.4699999999999998,10,2.64,2.5353846153846153,FALSE,1,5,3,3,1,1,3,5,4,2,4,2,2,3,39
975,10,22,f,HUMANITIES,14,1.85,15,1.28,1.5551724137931036,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
862,17,22,f,HUMANITIES,12,2.44,16,2.9499999999999997,2.731428571428571,FALSE,5,5,3,3,5,2,5,5,5,5,6,4,6,2,61
495,6,22,f,HUMANITIES,16,2.58,13,2.25,2.4320689655172414,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
507,11,22,m,HUMANITIES,16,3.96,17,3.65,3.8003030303030303,FALSE,1,2,3,2,5,5,1,5,3,4,1,1,3,3,39
487,16,22,f,HUMANITIES,16,1.8800000000000001,13,2.07,1.9651724137931033,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
543,21,22,f,HUMANITIES,15,3.82,16,3.74,3.778709677419355,FALSE,2,6,4,2,1,5,3,4,3,4,5,5,2,2,48
961,14,22,m,HUMANITIES,17,1.99,16,1.82,1.9075757575757577,FALSE,1,4,3,2,1,4,4,1,5,4,4,5,1,2,41
407,21,21,m,HUMANITIES,16,3.2600000000000002,11,2.7800000000000002,3.0644444444444447,FALSE,4,4,3,6,3,4,6,2,3,5,3,4,5,2,54
345,5,22,m,HUMANITIES,14,2.34,16,2.75,2.5586666666666664,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
790,23,22,f,HUMANITIES,15,3.38,16,3.74,3.565806451612903,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
886,8,21,f,HUMANITIES,16,3.7600000000000002,18,3.8299999999999996,3.7970588235294116,FALSE,1,3,2,2,4,5,3,3,1,1,3,3,2,6,39
647,12,22,m,HUMANITIES,16,2.56,17,2.79,2.6784848484848487,FALSE,1,5,3,2,2,2,4,1,3,1,5,1,1,6,37
329,23,23,f,HUMANITIES,16,2.68,16,3.04,2.8600000000000003,FALSE,2,3,3,4,3,2,3,5,4,5,4,4,6,1,49
494,16,22,f,HUMANITIES,16,1.9,17,2.05,1.9772727272727273,FALSE,2,4,3,1,2,2,2,5,2,5,2,1,5,1,37
876,23,22,f,HUMANITIES,13,2.36,17,2.71,2.558333333333333,FALSE,6,3,5,4,2,2,6,1,1,5,1,5,1,5,47
245,12,22,m,HUMANITIES,15,3.32,17,3.16,3.235,FALSE,4,6,3,1,2,1,1,3,2,4,6,5,3,4,45
688,5,22,m,HUMANITIES,17,3.8499999999999996,12,3.79,3.825172413793103,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,21,22,f,HUMANITIES,17,2.4,12,2.4299999999999997,2.412413793103448,FALSE,3,3,5,5,1,1,2,4,3,1,3,4,1,5,41
409,19,22,m,HUMANITIES,16,3.12,15,2.9699999999999998,3.0474193548387096,FALSE,3,6,1,5,2,5,1,1,2,3,3,1,1,1,35
452,3,22,m,HUMANITIES,17,2.3899999999999997,16,1.96,2.181515151515151,FALSE,5,3,4,1,2,2,1,1,4,3,3,4,3,5,41
597,22,22,f,HUMANITIES,16,1.97,16,2.36,2.165,FALSE,2,1,4,1,2,5,3,6,3,4,5,5,2,3,46
216,18,22,m,HUMANITIES,16,3.27,15,3.07,3.173225806451613,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
645,13,22,m,HUMANITIES,17,3.4899999999999998,16,2.84,3.174848484848485,FALSE,5,6,2,1,5,3,3,3,3,2,4,3,1,2,43
992,15,22,f,HUMANITIES,17,2.69,16,2.22,2.462121212121212,FALSE,1,4,3,4,2,3,3,2,5,4,2,2,3,5,43
568,9,22,f,HUMANITIES,13,2.3099999999999996,15,1.58,1.9189285714285713,TRUE,5,3,5,3,3,2,1,1,2,1,1,3,1,2,33
161,9,22,m,HUMANITIES,16,1.55,17,1.54,1.544848484848485,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,6,23,f,HUMANITIES,15,2.9499999999999997,15,3.13,3.0399999999999996,FALSE,4,2,2,5,6,5,1,1,6,2,6,1,2,4,47
379,12,22,m,HUMANITIES,16,3.3899999999999997,16,3.2800000000000002,3.335,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,9,21,f,HUMANITIES,16,3.53,17,2.66,3.0818181818181816,TRUE,5,2,1,5,3,2,3,3,5,5,2,5,3,1,45
565,3,21,f,HUMANITIES,16,2.09,16,1.8,1.9449999999999998,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,6,22,f,HUMANITIES,16,0.88,16,1.08,0.98,FALSE,3,4,1,3,4,2,3,1,3,5,3,1,5,2,40
623,23,21,f,HUMANITIES,17,2.8299999999999996,17,2.86,2.8449999999999998,FALSE,2,3,1,4,1,5,5,3,3,3,1,3,3,5,42
235,18,22,f,HUMANITIES,17,1.51,12,1.75,1.6093103448275863,FALSE,1,3,1,2,3,2,2,1,5,3,2,1,5,4,35
882,2,22,m,HUMANITIES,18,3.7600000000000002,16,3.36,3.571764705882353,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
735,10,22,f,HUMANITIES,18,2.2,17,2.15,2.1757142857142857,FALSE,5,5,5,1,1,4,4,3,3,2,2,1,5,6,47
705,10,22,f,HUMANITIES,16,3.4299999999999997,16,3.86,3.6449999999999996,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,19,22,f,HUMANITIES,16,2.46,16,2.2600000000000002,2.3600000000000003,FALSE,3,3,5,3,2,3,5,2,4,4,2,2,4,3,45
672,4,22,m,HUMANITIES,16,3.56,17,3.4899999999999998,3.5239393939393935,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,5,23,m,HUMANITIES,18,2.12,17,2.3299999999999996,2.222,FALSE,3,5,2,6,2,3,1,5,5,3,2,5,1,6,49
322,16,22,m,HUMANITIES,14,2.38,17,1.76,2.04,FALSE,2,2,5,2,4,6,2,1,3,6,1,5,5,6,50
931,10,22,f,HUMANITIES,16,3.11,15,3.4099999999999997,3.2551612903225804,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
971,5,22,m,HUMANITIES,15,3.08,17,2.59,2.8196875,FALSE,4,6,3,2,3,1,3,2,3,2,2,4,2,2,39
537,5,22,m,HUMANITIES,15,1.46,17,1.37,1.4121875,FALSE,1,5,5,3,1,5,4,4,1,2,3,4,2,1,41
758,20,22,m,HUMANITIES,16,2.8699999999999997,16,3.13,3,FALSE,1,5,1,1,3,6,2,1,3,2,2,1,3,5,36
658,2,22,f,HUMANITIES,17,2.61,15,2.3299999999999996,2.47875,FALSE,6,5,5,1,1,1,1,2,2,3,4,1,4,1,37
391,10,22,m,HUMANITIES,11,1.58,17,1.45,1.5010714285714286,FALSE,3,3,1,1,1,3,2,2,2,2,3,4,2,2,31
546,5,21,f,HUMANITIES,16,2.14,16,2.21,2.175,FALSE,1,3,1,5,4,5,5,3,1,3,5,1,2,2,41
861,17,21,f,HUMANITIES,16,3.01,15,3,3.0051612903225804,FALSE,1,4,3,1,4,5,2,3,3,1,1,3,1,3,35
952,17,22,m,HUMANITIES,15,2.3899999999999997,17,1.6,1.9703125,TRUE,3,1,3,6,4,1,6,1,5,2,2,1,4,1,40
747,17,22,f,HUMANITIES,17,3.17,16,3.3099999999999996,3.237878787878788,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,3,22,m,HUMANITIES,13,2.4899999999999998,16,2.02,2.2306896551724136,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
995,12,23,m,HUMANITIES,14,2.9499999999999997,13,3.42,3.176296296296296,FALSE,5,3,1,3,1,1,1,3,4,5,1,1,6,2,37
765,9,22,m,HUMANITIES,17,2.04,17,2.21,2.125,FALSE,3,2,1,3,6,4,1,2,3,4,3,6,1,2,41
301,19,22,m,HUMANITIES,16,3.4899999999999998,17,2.3299999999999996,2.892424242424242,TRUE,3,3,1,5,1,6,1,4,2,5,3,5,1,4,44
936,9,22,f,HUMANITIES,18,2.8299999999999996,16,3.51,3.15,TRUE,3,1,5,5,4,2,4,1,1,5,3,2,5,2,43
203,21,22,m,HUMANITIES,17,3.25,16,2.4299999999999997,2.852424242424242,TRUE,2,3,1,4,3,4,1,5,3,1,4,2,1,2,36
939,15,21,f,HUMANITIES,17,2.9699999999999998,16,2.8299999999999996,2.9021212121212114,FALSE,1,2,3,1,3,4,5,1,4,5,3,4,2,3,41
478,6,23,f,HUMANITIES,14,2.02,17,2.36,2.206451612903226,FALSE,2,1,5,3,1,4,5,6,2,3,5,5,3,3,48
942,6,22,m,HUMANITIES,15,3.4899999999999998,12,2.9299999999999997,3.2411111111111106,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,13,22,f,HUMANITIES,17,3.3099999999999996,16,3.04,3.179090909090909,FALSE,3,4,2,3,5,3,2,2,2,3,3,1,2,3,38
512,20,22,m,HUMANITIES,12,3.68,16,3.14,3.3714285714285714,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
760,12,21,m,HUMANITIES,18,3.53,18,3.68,3.605,FALSE,2,5,3,2,1,5,4,5,2,1,1,3,5,4,43
429,18,23,m,HUMANITIES,17,3.17,16,2.32,2.757878787878788,TRUE,3,5,1,3,3,1,1,4,1,3,1,3,5,1,35
927,7,21,m,HUMANITIES,15,2.61,17,1.71,2.131875,TRUE,2,1,2,4,4,2,5,1,2,5,5,4,1,5,43
806,5,22,m,HUMANITIES,17,2.46,12,3.13,2.7372413793103445,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
791,5,22,m,HUMANITIES,16,2.52,17,3.24,2.890909090909091,TRUE,1,1,4,4,6,2,3,2,1,4,2,1,1,5,37
941,5,22,f,HUMANITIES,16,3.7600000000000002,17,3.05,3.394242424242424,FALSE,4,6,6,1,1,3,2,1,3,5,1,3,5,2,43
594,11,22,f,HUMANITIES,14,1.81,16,2.09,1.9593333333333334,FALSE,4,4,5,3,4,4,2,4,3,5,6,5,3,6,58
907,19,22,f,HUMANITIES,16,2.04,17,2.3899999999999997,2.2203030303030302,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
509,11,22,f,HUMANITIES,16,2.48,16,2.6,2.54,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
928,3,22,m,HUMANITIES,16,3.01,17,2.8699999999999997,2.9378787878787875,FALSE,2,5,1,6,2,3,5,3,2,2,1,3,2,2,39
885,1,22,m,HUMANITIES,16,3.54,16,3.4099999999999997,3.4749999999999996,FALSE,1,2,4,4,4,3,3,2,5,1,1,2,3,1,36
969,12,23,m,HUMANITIES,15,3.4099999999999997,15,3.6,3.5050000000000003,FALSE,1,2,3,3,2,6,1,1,2,5,3,3,1,5,38
681,13,22,f,HUMANITIES,17,3.96,18,3.3099999999999996,3.625714285714285,FALSE,1,3,4,3,2,2,5,5,4,3,5,3,2,1,43
289,1,23,m,HUMANITIES,17,3.1,15,2.62,2.875,FALSE,2,3,1,1,1,1,1,2,4,1,2,6,4,1,30
237,8,22,f,HUMANITIES,17,2.7600000000000002,16,2.64,2.7018181818181817,FALSE,1,3,5,5,3,1,3,3,2,4,2,1,1,5,39
614,13,22,f,HUMANITIES,16,1.52,15,1.5,1.5103225806451612,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,16,22,f,HUMANITIES,17,2.34,12,3.13,2.666896551724138,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
793,6,22,f,HUMANITIES,17,2.62,16,3.21,2.9060606060606062,FALSE,5,3,6,3,5,2,3,5,2,2,4,1,5,2,48
640,20,22,f,HUMANITIES,17,2.73,16,1.5,2.1336363636363633,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410,7,23,f,HUMANITIES,16,2.11,17,2.46,2.29030303030303,FALSE,4,1,1,3,1,2,6,5,6,1,2,2,1,3,38
836,16,22,f,HUMANITIES,17,2.7800000000000002,17,2.59,2.685,FALSE,1,1,2,1,6,6,2,4,5,4,5,1,6,4,48
603,13,22,f,HUMANITIES,17,2.36,14,1.55,1.9941935483870965,TRUE,1,4,5,2,4,5,2,3,1,1,5,4,1,3,41
355,14,22,f,SOCIAL SCIENCES,16,2.3899999999999997,16,2.8,2.5949999999999998,FALSE,4,5,4,6,2,6,5,3,2,3,2,4,3,1,50
267,14,22,f,SOCIAL SCIENCES,16,3.67,15,3.06,3.3748387096774195,FALSE,3,2,3,4,5,2,4,3,2,2,6,2,4,5,47
360,10,23,m,SOCIAL SCIENCES,17,2.11,16,1.6600000000000001,1.8918181818181818,FALSE,2,5,2,3,2,4,3,2,4,2,3,3,5,2,42
982,17,22,f,SOCIAL SCIENCES,16,1.26,16,1.92,1.5899999999999999,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
762,18,22,m,SOCIAL SCIENCES,15,2.07,15,2.77,2.42,FALSE,3,2,4,1,2,1,2,3,3,2,2,5,6,1,37
726,15,22,m,SOCIAL SCIENCES,16,3.53,17,3.7,3.6175757575757572,FALSE,2,1,4,2,4,3,3,4,3,6,4,6,6,2,50
200,6,22,f,SOCIAL SCIENCES,13,2.27,12,2.3299999999999996,2.2988,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,3,22,m,SOCIAL SCIENCES,17,2.2600000000000002,16,1.8900000000000001,2.0806060606060606,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
722,19,22,f,SOCIAL SCIENCES,16,2.4099999999999997,16,1.96,2.1849999999999996,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
561,20,21,f,SOCIAL SCIENCES,12,3.01,17,3.14,3.086206896551724,FALSE,3,1,6,3,6,3,2,6,5,3,4,6,2,2,52
230,14,22,f,SOCIAL SCIENCES,16,3.8099999999999996,15,3.5,3.6599999999999997,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
